,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
2197,Q1237726,Dominicus Gundissalinus,re_arabic_world,Arabic world,1115.0,linguist | philosopher,non_europe,re_arabic_world
2198,Q7413013,Samuel ibn Seneh Zarza,re_arabic_world,Arabic world,1360.0,philosopher,non_europe,re_arabic_world
2199,Q87474494,Mustafa ibn Fathallah al-Hamawi,re_arabic_world,Arabic world,1634.0,historian,non_europe,re_arabic_world
2200,Q766920,Auguste Pomel,re_arabic_world,Arabic world,1821.0,botanist | paleontologist | geologist,non_europe,re_arabic_world
2201,Q4664590,Abd al-Rahman al-Tamanarti,re_arabic_world,Arabic world,1585.0,historian,non_europe,re_arabic_world
2202,Q3143443,Husayn al-Jisr,re_arabic_world,Arabic world,1845.0,theologian,non_europe,re_arabic_world
2203,Q12223589,Abdullah ibn Muhammad ibn Abd al-Wahhab,re_arabic_world,Arabic world,1751.0,theologian,non_europe,re_arabic_world
2204,Q3130584,Henri Aucapitaine,re_arabic_world,Arabic world,1832.0,botanist,non_europe,re_arabic_world
2205,Q55740041,Ernest Godard,re_arabic_world,Arabic world,1826.0,anthropologist,non_europe,re_arabic_world
2206,Q18783417,Joseph Arnaud Charles Gaillardot,re_arabic_world,Arabic world,1814.0,botanist,non_europe,re_arabic_world
2207,Q67657447,Hamzah ibn ʻAbd Allah Nashiri,re_arabic_world,Arabic world,1430.0,botanist | historian,non_europe,re_arabic_world
2208,Q21511148,Gaetano Leone Durando,re_arabic_world,Arabic world,1811.0,botanist,non_europe,re_arabic_world
2209,Q3194675,Sheikh Mustafa,re_arabic_world,Arabic world,1836.0,theologian,non_europe,re_arabic_world
2210,Q1361405,Gustave Revilliod,re_arabic_world,Arabic world,1817.0,archeologist,non_europe,re_arabic_world
2211,Q202308,Evliya Çelebi,re_arabic_world,Arabic world,1611.0,historian,non_europe,re_arabic_world
2212,Q982845,Moshe Chaim Luzzatto,re_arabic_world,Arabic world,1707.0,philosopher,non_europe,re_arabic_world
2213,Q12252068,Yusuf al-Maghribi,re_arabic_world,Arabic world,1550.0,linguist,non_europe,re_arabic_world
2214,Q2745413,Al-Hadi ila'l-Haqq Yahya,re_arabic_world,Arabic world,859.0,theologian,non_europe,re_arabic_world
2215,Q6533520,ʻAbd al-Raḥmān ibn ʻAlī Ibn al-Daybaʻ,re_arabic_world,Arabic world,1461.0,historian,non_europe,re_arabic_world
