,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
5214,Q3218966,Laurent-Benoît Desplaces,re_france,France,1700.0,botanist | historian,europe
22602,Q1871917,Louis Picques,re_france,France,1637.0,theologian,europe
12561,Q3026998,Didier Dounot,re_france,France,1574.0,mathematician,europe
27611,Q2466849,Jean Molinet,re_france,France,1435.0,historian,europe
17668,Q3383623,Pierre Abadie,re_france,France,1650.0,theologian,europe
14221,Q87484193,Matthieu Herbelin,re_france,France,1524.0,historian,europe
23295,Q3340181,Nicolas Caussin,re_france,France,1583.0,theologian,europe
15481,Q3171797,Jean Doujat,re_france,France,1609.0,linguist | historian,europe
15046,Q187429,Claude Dupuy,re_france,France,1545.0,philosopher | historian,europe
24471,Q6171754,Jean de Launoy,re_france,France,1603.0,theologian | historian,europe
21595,Q38006092,François Genet,re_france,France,1640.0,theologian,europe
14048,Q677639,Jérôme-Hermès Bolsec,re_france,France,1501.0,theologian,europe
4999,Q3271478,Léonard Baldner,re_france,France,1612.0,botanist,europe
8677,Q551799,Jean du Vergier de Hauranne,re_france,France,1581.0,theologian,europe
16571,Q19514114,Pierre Eskrich,re_france,France,1530.0,geographer,europe
5135,Q1539547,Geoffrey of Auxerre,re_france,France,1115.0,theologian,europe
9912,Q266447,Ralph of Caen,re_france,France,1085.0,historian,europe
13338,Q3171320,Jean Cinqarbres,re_france,France,1514.0,linguist,europe
5469,Q556735,François Robichon de La Guérinière,re_france,France,1688.0,historian,europe
23134,Q22210332,Antoine de Cousu,re_france,France,1600.0,musicologist,europe
6257,Q3262374,Louis Jouard de La Nauze,re_france,France,1696.0,historian,europe
10126,Q654858,Paschasius Radbertus,re_france,France,792.0,theologian,europe
5561,Q2757322,Bertrand d'Argentré,re_france,France,1519.0,historian,europe
8350,Q98400393,Jean Dadré,re_france,France,1550.0,theologian,europe
8006,Q692115,Giovanni Diodati,re_france,France,1576.0,theologian,europe
6519,Q7183253,Philip Bouquett,re_france,France,1669.0,linguist,europe
20414,Q3261837,Louis Ellies Dupin,re_france,France,1657.0,theologian | historian,europe
29393,Q3837589,Louis Chantereau Le Fèvre,re_france,France,1588.0,historian,europe
16496,Q5493158,François Armand Gervaise,re_france,France,1660.0,historian,europe
5751,Q6265864,John of la Rochelle,re_france,France,1190.0,theologian | philosopher,europe
16657,Q371890,Philippe de La Hire,re_france,France,1640.0,astronomer | mathematician | botanist,europe
26497,Q6372706,Nicholas of Amiens,re_france,France,1147.0,theologian,europe
5777,Q3241186,Limojon de Saint-Didier,re_france,France,1630.0,historian,europe
23087,Q3174084,Jean Porthaise,re_france,France,1520.0,theologian,europe
5443,Q19955976,François Ganneron,re_france,France,1590.0,historian,europe
25924,Q200463,Guido da Vigevano,re_france,France,1280.0,anatomist,europe
12532,Q1387082,Jean Errard,re_france,France,1554.0,mathematician,europe
8292,Q1153589,Théodore Cornut,re_france,France,1700.0,mathematician,europe
14308,Q511359,René Rapin,re_france,France,1620.0,theologian,europe
29188,Q100979,Johann Schilter,re_france,France,1632.0,historian,europe
23545,Q2854188,Antoine Magnol,re_france,France,1676.0,botanist,europe
19494,Q5348276,Eguinaire Baron,re_france,France,1495.0,philosopher,europe
12757,Q55018249,Samuel Bocchart,re_france,France,1599.0,theologian | linguist | zoologist,europe
25554,Q3109731,Godfrey of St Victor,re_france,France,1125.0,theologian | philosopher,europe
23574,Q15454943,Jean-Armand de Rotondis de Biscarras,re_france,France,1700.0,theologian,europe
13738,Q381305,Jean de Beaugrand,re_france,France,1584.0,mathematician,europe
11717,Q2633293,Pierre du Ryer,re_france,France,1605.0,historian,europe
28398,Q2535940,Nicolas Barnaud,re_france,France,1538.0,philosopher,europe
16444,Q1386187,Jean Lemaire de Belges,re_france,France,1473.0,historian,europe
26149,Q129022,Charles-Jean-François Hénault,re_france,France,1685.0,historian,europe
28638,Q94849073,Jean Verjus,re_france,France,1630.0,theologian,europe
20980,Q94906389,Andreas Andreae,re_france,France,1673.0,theologian,europe
5601,Q944668,Robert de Clari,re_france,France,1170.0,historian,europe
20578,Q23721072,George de Esclavonie,re_france,France,1360.0,theologian,europe
6030,Q1506270,Symphorian Pollio,re_france,France,1475.0,theologian,europe
14580,Q9012115,Joanes Etxeberri,re_france,France,1580.0,theologian,europe
18203,Q18945145,Cherubin d'Orleans,re_france,France,1613.0,physicist,europe
26093,Q90351,Konrad Hubert,re_france,France,1507.0,theologian,europe
7709,Q3186122,Josué de la Place,re_france,France,1596.0,theologian,europe
9044,Q3180611,Johann Michael Vansleb,re_france,France,1635.0,linguist | historian,europe
15183,Q3340748,Nicolas Robert,re_france,France,1614.0,zoologist,europe
22055,Q30102775,Pierre Mangon,re_france,France,1631.0,historian,europe
10283,Q3080974,Francesco Giuntini,re_france,France,1523.0,theologian | astronomer,europe
22920,Q676456,"Pierre Le Pesant, sieur de Boisguilbert",re_france,France,1646.0,economist,europe
12501,Q3120156,Guillaume Rivet,re_france,France,1581.0,theologian,europe
22620,Q2425021,Paul Hoste,re_france,France,1652.0,mathematician,europe
19722,Q5615634,Guiu de Terrena,re_france,France,1270.0,philosopher,europe
29557,Q3172511,Jean Hellot,re_france,France,1685.0,chemist,europe
17066,Q23926448,Louis Chardon,re_france,France,1595.0,theologian,europe
7511,Q3120782,Joan Francés Fulcònis,re_france,France,1520.0,mathematician,europe
21637,Q55127190,Jakob Wex,re_france,France,1645.0,theologian,europe
21785,Q8301644,Denis Simon,re_france,France,1648.0,historian,europe
6357,Q6120832,Jacques Robbe,re_france,France,1643.0,geographer,europe
27109,Q454553,Odo of Cluny,re_france,France,878.0,musicologist,europe
19910,Q633302,"Charles Sorel, sieur de Souvigny",re_france,France,1600.0,historian,europe
5395,Q107349457,Gilles Boileau de Bouillon,re_france,France,1525.0,geographer,europe
15834,Q2411054,Louis Bulteau,re_france,France,1625.0,historian,europe
6609,Q75655,Pierre de Fermat,re_france,France,1601.0,mathematician,europe
7893,Q4182042,Christophe de Jussieu,re_france,France,1685.0,botanist,europe
25112,Q3100339,Guillaume de La Perrière,re_france,France,1503.0,philosopher,europe
5517,Q2722500,Bertrand of Comminges,re_france,France,1050.0,philosopher,europe
26651,Q22248724,Guillaume Du Blanc,re_france,France,1561.0,theologian,europe
12922,Q3101111,Geoffroi Linocier,re_france,France,1505.0,botanist,europe
5676,Q3434764,Robert Céneau,re_france,France,1483.0,theologian | historian,europe
24770,Q3756465,Gabriel Cossart,re_france,France,1615.0,historian,europe
12390,Q347699,Claude Perrault,re_france,France,1613.0,zoologist | botanist | art theorist | anatomist,europe
24089,Q742,Jean Racine,re_france,France,1639.0,historian,europe
9812,Q3165828,Jean François Pons,re_france,France,1698.0,linguist,europe
18908,Q3022732,Denis Henrion,re_france,France,1501.0,mathematician,europe
7550,Q2842385,Ambroise Janvier,re_france,France,1613.0,theologian,europe
6833,Q1266754,Durandus of Saint-Pourçain,re_france,France,1272.0,theologian | philosopher,europe
17901,Q3167899,Jean-Maur Audren de Kerdrel,re_france,France,1651.0,historian,europe
16508,Q94882062,Theophilus Golius,re_france,France,1561.0,philosopher,europe
